SE
29929,404-9401390-7005154,9401390,Women,44,06-02-2022,Delivered,Myntra,NW012-TP-PJ-XL,Set,XL,1,INR,521,Aligarh,UTTAR PRADESH,202001,IN,FALSE
29930,404-9401390-7005154,9401390,Women,62,06-02-2022,Delivered,Amazon,J0119-TP-XXL,Top,XXL,1,INR,758,NOIDA,UTTAR PRADESH,201303,IN,FALSE
29931,404-0117812-3973154,117812,Women,47,06-02-2022,Delivered,Amazon,MEN5025-KR-XXXL,kurta,3XL,1,INR,549,BENGALURU,KARNATAKA,560064,IN,FALSE
29932,404-5377234-5129943,5377234,Women,40,06-02-2022,Delivered,Myntra,JNE3518-KR-XL,kurta,XL,1,INR,468,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416416,IN,FALSE
29933,408-5564698-9069122,5564698,Women,32,06-02-2022,Delivered,Flipkart,SET331-KR-NP-XS,Set,XS,1,INR,603,LUCKNOW,UTTAR PRADESH,226003,IN,FALSE
29934,405-7899140-5564345,7899140,Women,43,06-02-2022,Delivered,Flipkart,J0236-SKD-M,Set,M,1,INR,912,MEDINIPUR,WEST BENGAL,721101,IN,FALSE
29935,408-6386263-7946724,6386263,Women,21,06-02-2022,Delivered,Amazon,SAR020,Saree,Free,1,INR,349,BENGALURU,KARNATAKA,560037,IN,FALSE
29936,405-1507160-1009906,1507160,Women,34,06-02-2022,Delivered,Flipkart,SET360-KR-NP-M,Set,M,1,INR,1093,Shimla,HIMACHAL PRADESH,171004,IN,FALSE
29937,403-0398161-7340302,398161,Women,48,06-02-2022,Delivered,Myntra,SAR011,Saree,Free,1,INR,678,BETTIAH,BIHAR,845438,IN,FALSE
29938,408-2695284-8100360,2695284,Men,25,06-02-2022,Delivered,Flipkart,J0308-DR-XXL,Western Dress,XXL,1,INR,625,MUMBAI,MAHARASHTRA,400092,IN,FALSE
29939,406-7524840-1780366,7524840,Women,36,06-02-2022,Delivered,Amazon,J0122-TP-M,Top,M,1,INR,330,BENGALURU,KARNATAKA,560068,IN,FALSE
29940,404-1421047-1899530,1421047,Men,28,06-02-2022,Delivered,Amazon,JNE3797-KR-XS,Western Dress,XS,1,INR,735,HYDERABAD,TELANGANA,500008,IN,FALSE
29941,407-5608568-7057938,5608568,Women,42,06-02-2022,Delivered,Amazon,J0230-SKD-M,Set,M,1,INR,1112,KATIHAR,BIHAR,854105,IN,FALSE
29942,403-6381213-5777929,6381213,Women,27,06-02-2022,Cancelled,Amazon,SAR025,Saree,Free,1,INR,399,KALYAN,MAHARASHTRA,421301,IN,FALSE
29943,403-5307334-8069107,5307334,Women,18,06-02-2022,Delivered,Amazon,JNE3863-TU-XXL,Top,XXL,1,INR,758,Chennai,TAMIL NADU,600017,IN,FALSE
29944,406-3215482-6340332,3215482,Women,28,06-02-2022,Delivered,Amazon,J0119-TP-L,Top,L,1,INR,574,MOHALI,PUNJAB,160055,IN,FALSE
29945,406-5496786-5061964,5496786,Men,63,06-02-2022,Delivered,Amazon,SET320-KR-NP-XXL,Set,XXL,1,INR,899,NAGPUR,MAHARASHTRA,440025,IN,FALSE
29946,406-4513844-4131510,4513844,Women,20,06-02-2022,Delivered,Nalli,SET345-KR-NP-M,Set,M,1,INR,635,PARBHANI,MAHARASHTRA,431401,IN,FALSE
29947,403-2003390-3218743,2003390,Men,43,06-02-2022,Delivered,Others,J0159-DR-XXXL,Western Dress,3XL,1,INR,562,PIMPRI CHINCHWAD,MAHARASHTRA,412101,IN,FALSE
29948,404-0056620-2235547,56620,Men,23,06-02-2022,Delivered,Amazon,SET321-KR-DPT-XS,Set,XS,1,INR,927,NEW DELHI,DELHI,110059,IN,FALSE
29949,406-0090208-2690726,90208,Men,59,06-02-2022,Delivered,Myntra,AN209-BIEGE-XL,Bottom,XL,1,INR,301,BENGALURU,KARNATAKA,560022,IN,FALSE
29950,171-5816465-0318703,5816465,Women,62,06-02-2022,Delivered,Nalli,SAR024,Saree,Free,1,INR,799,BALAGHAT,MADHYA PRADESH,481001,IN,FALSE
29951,171-0216811-3053944,216811,Women,28,06-02-2022,Delivered,Flipkart,SAR029,Saree,Free,1,INR,737,PATNA,BIHAR,800014,IN,FALSE
29952,403-1513063-7745940,1513063,Women,20,06-02-2022,Delivered,Flipkart,JNE3805-KR-M,kurta,M,1,INR,487,BENGALURU,KARNATAKA,560054,IN,FALSE
29953,407-2750028-1725920,2750028,Women,46,06-02-2022,Delivered,Myntra,SAR010,Saree,Free,1,INR,799,INDORE,MADHYA PRADESH,452010,IN,FALSE
29954,405-4142305-3581137,4142305,Women,48,06-02-2022,Delivered,Flipkart,J0340-TP-XL,Top,XL,1,INR,563,BALLIA,UTTAR PRADESH,277001,IN,FALSE
29955,171-2849446-7588365,2849446,Women,46,06-02-2022,Delivered,Flipkart,PJNE1906-KR-N-4XL,kurta,4XL,1,INR,836,CHENNAI,TAMIL NADU,600075,IN,FALSE
29956,402-8724004-7152368,8724004,Women,19,06-02-2022,Delivered,Amazon,JNE3611-KR-XXL,kurta,XXL,1,INR,469,CHENNAI,TAMIL NADU,600072,IN,FALSE
29957,407-4678889-7500329,4678889,Women,42,06-02-2022,Cancelled,Amazon,JNE3866-KR-S,kurta,S,1,INR,888,THODUPUZHA,KERALA,685584,IN,FALSE
29958,406-4461796-3937115,4461796,Women,33,06-02-2022,Refunded,Myntra,SAR017,Saree,Free,1,INR,464,GURUGRAM,HARYANA,122016,IN,FALSE
29959,405-6874666-4188318,6874666,Women,74,06-02-2022,Delivered,Flipkart,SAR004,Saree,Free,1,INR,301,Murwara Katni,MADHYA PRADESH,483501,IN,FALSE
29960,408-5352926-8225956,5352926,Women,67,06-02-2022,Delivered,Nalli,JNE3714-KR-XL,kurta,XL,1,INR,459,NEW DELHI,DELHI,110034,IN,FALSE
29961,407-9606400-5719562,9606400,Women,26,06-02-2022,Delivered,Amazon,MEN5025-KR-M,kurta,M,1,INR,530,BAREILLY,UTTAR PRADESH,243006,IN,FALSE
29962,404-6841578-1901115,6841578,Women,22,06-02-2022,Delivered,Amazon,JNE3801-KR-XXXL,kurta,3XL,1,INR,735,BENGALURU,KARNATAKA,560067,IN,FALSE
29963,402-2169010-7791512,2169010,Women,41,06-02-2022,Refunded,Amazon,JNE3500-KR-XXL,kurta,XXL,1,INR,364,KALYAN,MAHARASHTRA,421306,IN,FALSE
29964,402-3986407-5450741,3986407,Men,41,06-02-2022,Delivered,Myntra,JNE3797-KR-XXL,Western Dress,XXL,1,INR,735,NEW DELHI,DELHI,110018,IN,FALSE
29965,406-3614129-7465908,3614129,Women,22,06-02-2022,Delivered,Myntra,J0179-KR-S,kurta,S,1,INR,696,CHENNAI,TAMIL NADU,600081,IN,FALSE
29966,171-1571374-2693130,1571374,Women,49,06-02-2022,Delivered,Flipkart,JNE3648-TP-N-M,Top,M,1,INR,518,KOLKATA,WEST BENGAL,700063,IN,FALSE
29967,171-1571374-2693130,1571374,Women,47,06-02-2022,Delivered,Amazon,JNE3837-KR-XXXL,kurta,3XL,1,INR,533,THIRUVANANTHAPURAM,KERALA,695581,IN,FALSE
29968,408-9808520-1869912,9808520,Women,49,06-02-2022,Delivered,Flipkart,JNE3405-KR-L,kurta,L,1,INR,399,DEHRADUN,UTTARAKHAND,248007,IN,FALSE
29969,406-9027216-5293918,9027216,Men,36,06-02-2022,Delivered,Ajio,J0399-DR-L,Western Dress,L,1,INR,791,PANIPAT,HARYANA,132103,IN,FALSE
29970,402-3857589-1788351,3857589,Women,20,06-02-2022,Delivered,Myntra,J0096-KR-S,kurta,S,1,INR,635,OZAR,MAHARASHTRA,422207,IN,FALSE
29971,171-7715510-4089143,7715510,Men,66,06-02-2022,Delivered,Amazon,J0341-DR-XXL,Western Dress,XXL,1,INR,791,PANVEL,MAHARASHTRA,410206,IN,FALSE
29972,405-9322906-3190751,9322906,Women,42,06-02-2022,Delivered,Ajio,SET397-KR-NP-S,Set,S,1,INR,969,Bhayander (Easy),MAHARASHTRA,401105,IN,FALSE
29973,405-0419425-2924338,419425,Men,38,06-02-2022,Delivered,Others,SET404-KR-NP-M,Set,M,1,INR,1199,AHMEDABAD,GUJARAT,380015,IN,FALSE
29974,404-6342388-8768362,6342388,Women,43,06-02-2022,Delivered,Amazon,JNE3634-KR-M,kurta,M,1,INR,511,MADHURAWADA,ANDHRA PRADESH,530041,IN,FALSE
29975,171-3507679-1428317,3507679,Men,46,06-02-2022,Delivered,Flipkart,JNE3800-KR-S,Western Dress,S,1,INR,735,PUNE,MAHARASHTRA,411015,IN,FALSE
29976,408-9143469-4260346,9143469,Women,19,06-02-2022,Delivered,Amazon,J0379-SKD-XXXL,Set,3XL,1,INR,1287,AHMEDABAD,GUJARAT,380058,IN,FALSE
29977,406-4293317-9584309,4293317,Men,24,06-02-2022,Delivered,Myntra,SET227-KR-PP-A-M,Set,M,1,INR,571,SIBSAGAR,ASSAM,785686,IN,FALSE
29978,408-6583918-7726765,6583918,Women,44,06-02-2022,Delivered,Myntra,SAR025,Saree,Free,1,INR,563,BHOPAL,MADHYA PRADESH,462041,IN,FALSE
29979,406-9900096-2362750,9900096,Men,26,06-02-2022,Delivered,Flipkart,JNE3869-DR-M,Western Dress,M,1,INR,948,THANE,MAHARASHTRA,401701,IN,FALSE
29980,405-4987644-6779553,4987644,Women,21,06-02-2022,Delivered,Amazon,SET355-KR-PP-XL,Set,XL,1,INR,1399,NAVI MUMBAI,MAHARASHTRA,410206,IN,FALSE
